iter	Passed	Remaining
799	9843	2460
800	9856	2448
801	9869	2436
802	9882	2424
803	9895	2412
804	9909	2400
805	9922	2388
806	9935	2376
807	9949	2364
808	9962	2352
809	9975	2339
810	9987	2327
811	10000	2315
812	10013	2303
813	10027	2291
814	10039	2279
815	10052	2266
816	10068	2255
817	10083	2243
818	10096	2231
819	10109	2219
820	10123	2207
821	10139	2195
822	10155	2184
823	10170	2172
824	10183	2160
825	10196	2148
826	10211	2136
827	10225	2124
828	10237	2111
829	10251	2099
830	10265	2087
831	10278	2075
832	10292	2063
833	10305	2051
834	10319	2039
835	10332	2026
836	10346	2014
837	10360	2002
838	10373	1990
839	10387	1978
840	10400	1966
841	10414	1954
842	10428	1942
843	10443	1930
844	10456	1917
845	10469	1905
846	10481	1893
847	10494	1881
848	10504	1868
849	10517	1855
850	10529	1843
851	10540	1830
852	10552	1818
853	10567	1806
854	10581	1794
855	10597	1782
856	10612	1770
857	10626	1758
858	10639	1746
859	10652	1734
860	10666	1721
861	10678	1709
862	10691	1697
863	10705	1685
864	10718	1672
865	10730	1660
866	10740	1647
867	10752	1635
868	10763	1622
869	10774	1610
870	10787	1597
871	10798	1585
872	10811	1572
873	10822	1560
874	10834	1547
875	10847	1535
876	10860	1523
877	10873	1510
878	10886	1498
879	10899	1486
880	10912	1473
881	10924	1461
882	10938	1449
883	10951	1437
884	10965	1424
885	10978	1412
886	10990	1400
887	11004	1387
888	11017	1375
889	11030	1363
890	11045	1351
891	11058	1338
892	11072	1326
893	11083	1314
894	11098	1302
895	11111	1289
896	11123	1277
897	11136	1264
898	11149	1252
899	11161	1240
900	11172	1227
901	11184	1215
902	11195	1202
903	11207	1190
904	11220	1177
905	11233	1165
906	11247	1153
907	11259	1140
908	11273	1128
909	11286	1116
910	11301	1104
911	11314	1091
912	11327	1079
913	11341	1067
914	11356	1054
915	11371	1042
916	11385	1030
917	11400	1018
918	11414	1006
919	11429	993
920	11443	981
921	11455	969
922	11470	956
923	11485	944
924	11500	932
925	11514	920
926	11527	907
927	11542	895
928	11555	883
929	11568	870
930	11581	858
931	11594	845
932	11606	833
933	11618	821
934	11630	808
935	11642	796
936	11654	783
937	11666	771
938	11677	758
939	11689	746
940	11701	733
941	11714	721
942	11725	708
943	11736	696
944	11751	683
945	11765	671
946	11777	659
947	11792	646
948	11804	634
949	11819	622
950	11833	609
951	11845	597
952	11859	584
953	11872	572
954	11885	560
955	11899	547
956	11912	535
957	11927	522
958	11942	510
959	11956	498
960	11969	485
961	11982	473
962	11996	460
963	12008	448
964	12022	436
965	12035	423
966	12049	411
967	12062	398
968	12075	386
969	12090	373
970	12103	361
971	12117	349
972	12131	336
973	12145	324
974	12159	311
975	12174	299
976	12187	286
977	12200	274
978	12214	262
979	12228	249
980	12241	237
981	12255	224
982	12267	212
983	12282	199
984	12296	187
985	12311	174
986	12324	162
987	12337	149
988	12351	137
989	12364	124
990	12379	112
991	12393	99
992	12406	87
993	12421	74
994	12434	62
995	12449	49
996	12462	37
997	12476	25
998	12490	12
999	12502	0
